CORPORATE BENEFITS,,,,,,
Account : 21010015 RIA  EMMANUEL - KCE015,,,,,,
KABIR CAPITAL ADVISORS LLP-TWO RULES VALUE FUND,,,,,,
From 22/01/2026 to 18/09/2026,,,,,,
By Corporate Action Type ,,,,,,
Type,Security,Ex Date,Entitlement,Quantity,Amount,
Dividend,S Chand and Company Ltd,29/05/2026,Dividend @ 4,"1,339","5,356.00",
Dividend,Technocraft Industries India Ltd,04/06/2026,Dividend @ 20,144,"2,880.00",
Dividend,ONWARD TECHNOLOGIES LTD.,03/07/2026,Dividend @ 8,"1,620","12,960.00",
Dividend,HERITAGE FOODS LTD,15/07/2026,Dividend @ 2.5,"1,537","3,842.50",
Dividend,Jaro Institute of Technology Management and Research LTD,21/07/2026,Dividend @ 3,825,"2,475.00",
Dividend,ORIENT BELL Ltd,24/07/2026,Dividend @ 1,"1,759","1,759.00",
Dividend,KCP ltd,27/07/2026,Dividend @ .5,"3,657","1,828.50",
Dividend,ALLDIGI TECH LIMITED,31/07/2026,Dividend @ 30,686,"20,580.00",
Dividend,KCP ltd,12/08/2026,Dividend @ .5,"3,657","1,828.50",
Dividend,NCL Industries Limited,11/09/2026,Dividend @ 2,483,966.00,
Dividend,Edelweiss Financial Services Ltd,11/09/2026,Dividend @ 1.5,"5,156","7,734.00",
Dividend,Cineline India Ltd,16/09/2026,Dividend @ 1.25,"6,573","8,216.25",
,,,,,"70,425.75",
,,,,,,Page 1
